"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-01-18",390262,1393,39973,23226,2839,123848,759695,216669083,1677535,3865,7772,23778275,150385,56,283985954,2079206
"2021-01-17",388869,2044,39864,23432,2167,124387,756856,214991548,1349014,3860,7797,23627890,185518,56,281906748,1836498
"2021-01-16",386825,3695,39797,23524,4039,126139,754689,213642534,1397039,3858,7755,23442372,215449,56,280070250,2015414
"2021-01-15",383130,3679,39626,23593,4000,127235,750650,212245495,1592990,3845,7772,23226923,243996,56,278054836,2279606
"2021-01-14",379451,3915,39418,23891,3792,128947,746650,210652505,1342237,3829,7878,22982927,222944,56,275775230,2010144
"2021-01-13",375536,4087,39248,23857,5312,130391,742858,209310268,1238061,3811,7902,22759983,221557,56,273765086,1804256
"2021-01-12",371449,4064,39049,23881,4657,131326,737546,208072207,1415810,3796,7879,22538426,214809,56,271960830,1924459
"2021-01-11",367385,1733,38823,23501,3045,129793,732889,206656397,1384476,3773,7786,22323617,194140,56,270036371,1843844
"2021-01-10",365652,2068,38706,23640,2413,129223,729844,205271921,1405939,3771,7878,22129477,227708,56,268192527,1987882
"2021-01-09",363584,3537,38607,23718,6683,130781,727431,203865982,1373668,3767,7791,21901769,266399,56,266204645,2064103
"2021-01-08",360047,3780,38432,23912,4705,131921,720748,202492314,1364572,3756,7908,21635370,292204,56,264140542,2117440
"2021-01-07",356267,4079,38236,23821,5312,132370,716043,201127742,1215623,3748,7900,21343166,269325,56,262023102,1915218
"2021-01-06",352188,3902,38064,23708,6607,132474,710731,199912119,1004112,3739,7946,21073841,248086,56,260107884,1600829
"2021-01-05",348286,3484,37841,23509,4290,131195,704124,198908007,1234624,3718,7976,20825755,215086,56,258507055,1678839
"2021-01-04",344802,1547,37586,23435,3892,128210,699834,197673383,1192278,3692,7930,20610669,178438,56,256828216,1568546
"2021-01-03",343255,1455,37433,23243,2226,125562,695942,196481105,1001197,3688,7939,20432231,207756,56,255259670,1401449
"2021-01-02",341800,2406,37309,23133,3051,123614,693716,195479908,1358739,3684,7910,20224475,279389,56,253858221,2060220
"2021-01-01",339394,2592,37196,23255,4550,125047,690665,194121169,891331,3681,7990,19945086,180488,56,251798001,1360209
"2020-12-31",336802,3297,37066,23097,4348,125423,686115,193229838,1119785,3672,8004,19764598,223036,56,250437792,1747745
"2020-12-30",333505,3900,36855,23069,5514,125220,681767,192110053,965716,3653,7930,19541562,225908,56,248690047,1534374
"2020-12-29",329605,3289,36583,22838,5261,124686,676253,191144337,948976,3635,7885,19315654,196082,56,247155673,1291843
"2020-12-28",326316,1490,36308,22579,3723,121202,670992,190195361,1123983,3612,7948,19119572,163338,56,245863830,1476860
"2020-12-27",324826,1397,36164,22447,2302,118720,667269,189071378,1011283,3604,7878,18956234,152978,56,244386970,1340340
"2020-12-26",323429,1426,36038,22373,2292,117344,664967,188060095,1520750,3593,7809,18803256,190115,56,243046630,2122061
"2020-12-25",322003,1553,35945,22418,2047,118948,662675,186539345,985820,3592,7831,18613141,125867,56,240924569,1373275
"2020-12-24",320450,2958,35899,22623,4289,120200,660628,185553525,1274686,3587,7792,18487274,204297,56,239551294,1936907
"2020-12-23",317492,3393,35695,22489,4795,119463,656339,184278839,1188092,3579,7819,18282977,221906,56,237614387,1740033
"2020-12-22",314099,3137,35428,22213,4567,117777,651544,183090747,1268774,3554,7830,18061071,190132,56,235874354,1727489
"2020-12-21",310962,1480,35178,21884,3111,115358,646977,181821973,1559710,3539,7783,17870939,178997,56,234146865,2025427
"2020-12-20",309482,1668,35030,21763,2382,113601,643866,180262263,1220587,3530,7695,17691942,196963,56,232121438,1792080
"2020-12-19",307814,2708,34949,21692,3429,113914,641484,179041676,1208829,3529,7786,17494979,203346,56,230329358,1762484
"2020-12-18",305106,2866,34716,21745,5214,113955,638055,177832847,1538436,3519,7786,17291633,239737,56,228566874,2197746
"2020-12-17",302240,3465,34485,21912,5167,114492,632841,176294411,1257874,3504,7848,17051896,241028,56,226369128,1864588
"2020-12-16",298775,3453,34237,21943,4776,113257,627674,175036537,1215013,3488,7782,16810868,231850,56,224504540,1802086
"2020-12-15",295322,2924,33958,21897,4430,112816,622898,173821524,1348934,3460,7702,16579018,190593,56,222702454,1797070
"2020-12-14",292398,1357,33693,21458,3461,110573,618468,172472590,1631928,3442,7699,16388425,192862,56,220905384,2095868
"2020-12-13",291041,1501,33494,21230,2314,109298,615007,170840662,1214420,3432,7535,16195563,186763,56,218809516,1770163
"2020-12-12",289540,2497,33419,21198,3789,108461,612693,169626242,1188921,3430,7515,16008800,225287,56,217039353,1834747
"2020-12-11",287043,2747,33237,21012,5411,108101,608904,168437321,1342042,3424,7488,15783513,235471,56,215204606,1987199
"2020-12-10",284296,3132,32919,21024,4450,107300,603493,167095279,1271746,3394,7444,15548042,219285,56,213217407,1887187
"2020-12-09",281164,3169,32720,20903,5300,106671,599043,165823533,1268511,3376,7621,15328757,214960,56,211330220,1803813
"2020-12-08",277995,2680,32406,20475,4410,104637,593743,164555022,1279202,3359,7251,15113797,215953,56,209526407,1652188
"2020-12-07",275315,1291,32120,20097,3461,102122,589333,163275820,1269845,3328,7067,14897844,181473,56,207874219,1725636
"2020-12-06",274024,1163,31946,20145,2311,101501,585872,162005975,1115309,3322,7095,14716371,182351,56,206148583,1620226
"2020-12-05",272861,2486,31831,19947,3513,101192,583561,160890666,1549515,3321,7006,14534020,217770,56,204528357,2221953
"2020-12-04",270375,2563,31608,19853,4654,101309,580048,159341151,1259711,3305,6992,14316250,228884,56,202306404,1861622
"2020-12-03",267812,2822,31276,19714,5369,100746,575394,158081440,1267915,3280,6871,14087366,214805,56,200444782,1892944
"2020-12-02",264990,2811,31038,19687,5238,100327,570025,156813525,1980289,3252,6855,13872561,201746,56,198551838,1559671
"2020-12-01",262179,2489,30749,19292,4916,98736,564787,154833236,1011492,3223,6643,13670815,179137,56,196992167,1456016
"2020-11-30",259690,1037,30469,18807,3394,96134,559871,153821744,1214999,3205,6520,13491678,149516,56,195536151,1612731
"2020-11-29",258653,825,30274,18437,2429,93357,556477,152606745,862223,3184,6245,13342162,136967,56,193923420,1286929
"2020-11-28",257828,1243,30109,18249,3485,91762,554048,151744522,1210301,3179,6148,13205195,151064,56,192636491,1616060
"2020-11-27",256585,1404,29858,18056,3418,89913,550563,150534221,1404949,3171,6028,13054131,198259,56,191020431,2043917
"2020-11-26",255181,1392,29673,18019,2333,90564,547145,149129272,901799,3153,5986,12855872,129063,56,188976514,1331056
"2020-11-25",253789,2281,29540,17738,4538,90043,544812,148227473,1215641,3147,5987,12726809,187677,56,187645458,1828813
"2020-11-24",251508,2091,29245,17317,4685,88132,540274,147011832,1383175,3123,5626,12539132,165251,56,185816645,1805620
"2020-11-23",249417,853,28990,17060,2835,85945,535589,145628657,1271886,3106,5455,12373881,154581,56,184011025,1748897
"2020-11-22",248564,923,28828,16411,2291,83882,532754,144356771,1245784,3094,5233,12219300,153836,56,182262128,1771163
